CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
49001100100,UT,Beaver,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1338,14.0,0.0036668,1,3818,R,2316.267318,0.606670329,940.2724832,0.246273568,775.9805341,0.612455039,303.7934492,0.56362421,19.82262555,0.014815116,1139.909461,0.298561933,427.0669988,0.111856207,338.2655973,0.266981529,187.6336692,0.348114414,5.206538039,0.003891284,6.047872532,0.001584042,2.45608261,0.00064329,0.0,0.0,1.015957516,0.001884893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49001100200,UT,Beaver,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,927,10.0,0.0035575,1,2811,R,1992.847293,0.708946031,533.0584598,0.189633034,691.9465701,0.708235998,221.2913889,0.755260713,2.032879706,0.002192966,1456.324061,0.51808042,324.2985006,0.115367663,538.0678349,0.550734734,153.9509452,0.525429847,0.052540935,5.67e-05,947.7256014,0.337148915,318.6076896,0.113343184,355.2205441,0.363582952,86.03777006,0.293644266,0.0,0.0,3.999999864,0.001422981,0.0,0.0,0.99999997,0.001023541,0.0,0.0,0.0,0.0
49003960100,UT,Box Elder,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,978,9.0,0.0028553,0,3152,R,3152.000018,1.000000006,895.2940063,0.284039977,1142.000009,1.000000008,279.0000009,1.000000003,11.97900174,0.012248468,3152.000018,1.000000006,895.2940063,0.284039977,1142.000009,1.000000008,279.0000009,1.000000003,11.97900174,0.012248468,1766.581833,0.560463779,622.5271436,0.197502266,613.8479434,0.537520091,204.629947,0.73344067,8.435727368,0.008625488,694.3650293,0.220293474,378.696021,0.120144677,241.9471471,0.211862651,76.55813604,0.274401921,5.723050778,0.00585179
49003960200,UT,Box Elder,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2186,0.0,0.0,0,6901,R,6901.000031,1.000000004,1851.051562,0.268229468,2407.0,1.0,778.0000017,1.000000002,49.34827596,0.022574692,6779.766139,0.982432421,1812.279193,0.262611099,2362.261683,0.981413246,768.3603959,0.987609763,48.3564454,0.022120972,4.305720368,0.000623927,1.258913425,0.000182425,0.741498251,0.000308059,0.945910707,0.001215824,0.042724692,1.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003960300,UT,Box Elder,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2558,32.0,0.0039091,0,8186,C,6146.979496,0.750913694,1261.674565,0.154125894,2328.300001,0.767402769,511.2922041,0.713099308,23.32818605,0.009119697,2416.491702,0.295198107,381.4530393,0.046598221,916.5207816,0.302083316,158.0727068,0.220464026,5.16657862,0.002019773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003960400,UT,Box Elder,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1535,0.0,0.0,0,4872,R,4872.000012,1.000000003,1665.479445,0.341847177,1622.000005,1.000000003,549.0000006,1.000000001,15.77134279,0.01027449,4872.000012,1.000000003,1665.479445,0.341847177,1622.000005,1.000000003,549.0000006,1.000000001,15.77134279,0.01027449,76.47116953,0.015696053,36.15440733,0.007420855,13.73879478,0.00847028,17.73383962,0.032302076,0.0,0.0,3.317094163,0.000680849,1.568271693,0.000321895,0.398051277,0.000245408,1.061470096,0.001933461,0.0,0.0
49003960500,UT,Box Elder,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1623,158.0,0.0314553,0,5023,U,2438.954512,0.485557339,691.4969595,0.137666128,851.4595575,0.526567444,213.1351457,0.388224309,28.86869209,0.017787241,778.0261563,0.154892725,226.3598405,0.045064671,276.174587,0.170794426,64.17149146,0.116887963,7.413871145,0.004568004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003960601,UT,Box Elder,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1306,5.0,0.0013441,0,3720,U,1244.890759,0.334648054,285.9504982,0.076868414,381.8627413,0.329192018,238.723415,0.413016289,3.270368477,0.002504111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003960602,UT,Box Elder,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,769,39.0,0.016056,0,2429,R,2355.130297,0.96958843,366.8171392,0.151015702,722.9970446,0.979670792,324.9920895,0.964368218,0.0,0.0,460.6957212,0.189664768,52.73645704,0.02171118,137.0217615,0.185666344,51.74501289,0.153546032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49003960701,UT,Box Elder,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1574,92.0,0.0193074,0,4765,U,2499.025147,0.524454386,586.6045321,0.123106932,820.0247347,0.525656881,338.6256378,0.547937925,22.63264002,0.01437906,12.96443439,0.002720763,2.49449309,0.000523503,3.711209595,0.002378981,1.508797782,0.00244142,0.114656412,7.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
